color1,color2,rgb1,rgb2
1,9,"15.0,52.0,78.0","175.0,174.0,167.0"
9,9,"12.0,67.0,104.0","9.0,71.0,110.0"
6,6,"105.0,97.0,37.0","125.0,116.0,44.0"
1,4,"163.0,88.0,16.0","196.0,194.0,186.0"
9,4,"8.0,43.0,74.0","181.0,100.0,17.0"
9,1,"8.0,13.0,34.0","189.0,184.0,167.0"
1,4,"127.0,36.0,18.0","184.0,182.0,177.0"
4,4,"107.0,27.0,12.0","121.0,29.0,12.0"
9,6,"17.0,23.0,54.0","146.0,136.0,73.0"
1,1,"203.0,203.0,203.0","207.0,208.0,208.0"
6,6,"161.0,136.0,93.0","153.0,132.0,96.0"
4,4,"158.0,123.0,74.0","149.0,119.0,77.0"
5,5,"147.0,110.0,52.0","142.0,109.0,58.0"
1,1,"151.0,151.0,150.0","156.0,156.0,155.0"
1,1,"151.0,151.0,151.0","157.0,157.0,156.0"
1,1,"151.0,151.0,151.0","154.0,155.0,155.0"
5,5,"143.0,94.0,57.0","149.0,101.0,64.0"
6,6,"134.0,112.0,75.0","141.0,118.0,79.0"
11,11,"150.0,106.0,101.0","151.0,107.0,102.0"
6,6,"150.0,135.0,105.0","145.0,130.0,99.0"
11,11,"151.0,103.0,96.0","157.0,107.0,101.0"
6,6,"165.0,143.0,103.0","173.0,151.0,111.0"
9,4,"70.0,108.0,121.0","142.0,68.0,41.0"
10,10,"140.0,123.0,123.0","141.0,124.0,125.0"
1,6,"181.0,185.0,183.0","191.0,162.0,97.0"
1,1,"183.0,186.0,185.0","180.0,183.0,185.0"
6,6,"194.0,163.0,102.0","203.0,165.0,97.0"
11,11,"155.0,104.0,96.0","146.0,94.0,86.0"
1,1,"154.0,152.0,149.0","158.0,156.0,152.0"
7,7,"96.0,108.0,94.0","114.0,127.0,111.0"
9,9,"76.0,106.0,136.0","77.0,107.0,137.0"
5,5,"152.0,127.0,109.0","157.0,130.0,111.0"
11,11,"151.0,123.0,110.0","156.0,126.0,111.0"
11,11,"150.0,91.0,85.0","148.0,90.0,85.0"
5,5,"140.0,105.0,79.0","146.0,107.0,78.0"
1,1,"208.0,209.0,203.0","158.0,153.0,146.0"
1,6,"216.0,152.0,38.0","137.0,132.0,125.0"
11,11,"174.0,136.0,125.0","176.0,137.0,125.0"
3,3,"106.0,23.0,10.0","108.0,24.0,11.0"
7,7,"172.0,180.0,114.0","168.0,175.0,118.0"
7,7,"175.0,181.0,141.0","171.0,176.0,141.0"
3,3,"157.0,103.0,98.0","157.0,103.0,98.0"
1,1,"169.0,168.0,164.0","172.0,171.0,167.0"
1,1,"169.0,168.0,166.0","167.0,167.0,165.0"
7,7,"147.0,145.0,119.0","151.0,149.0,120.0"
5,5,"145.0,128.0,113.0","153.0,133.0,119.0"
11,11,"139.0,103.0,98.0","146.0,102.0,95.0"
3,3,"116.0,57.0,49.0","119.0,44.0,33.0"
5,5,"125.0,93.0,49.0","130.0,92.0,39.0"
6,6,"158.0,133.0,92.0","160.0,134.0,93.0"
11,11,"162.0,129.0,126.0","166.0,134.0,130.0"
1,7,"7.0,19.0,14.0","180.0,179.0,176.0"
1,6,"155.0,112.0,48.0","198.0,198.0,191.0"
1,1,"152.0,147.0,137.0","176.0,171.0,161.0"
3,1,"93.0,19.0,15.0","162.0,161.0,148.0"
1,1,"145.0,144.0,143.0","145.0,144.0,143.0"
1,1,"180.0,182.0,178.0","180.0,182.0,178.0"
1,1,"179.0,179.0,177.0","180.0,180.0,178.0"
1,1,"179.0,179.0,176.0","181.0,180.0,178.0"
1,1,"161.0,161.0,147.0","175.0,175.0,165.0"
11,11,"159.0,126.0,122.0","186.0,149.0,148.0"
3,3,"124.0,39.0,40.0","127.0,30.0,36.0"
4,4,"159.0,97.0,64.0","164.0,97.0,60.0"
9,9,"87.0,109.0,131.0","89.0,113.0,137.0"
3,3,"116.0,64.0,59.0","118.0,63.0,56.0"
7,7,"125.0,123.0,96.0","132.0,129.0,101.0"
1,1,"172.0,167.0,165.0","172.0,168.0,166.0"
11,11,"171.0,140.0,130.0","173.0,141.0,132.0"
5,5,"135.0,78.0,44.0","137.0,80.0,46.0"
3,3,"131.0,68.0,56.0","129.0,66.0,54.0"
1,1,"153.0,153.0,152.0","152.0,152.0,152.0"
6,6,"149.0,137.0,112.0","150.0,138.0,114.0"
7,7,"116.0,117.0,100.0","120.0,122.0,106.0"
11,11,"153.0,126.0,117.0","153.0,130.0,121.0"
9,9,"88.0,110.0,132.0","94.0,116.0,136.0"
10,10,"96.0,52.0,76.0","100.0,57.0,81.0"
5,5,"126.0,86.0,62.0","128.0,90.0,66.0"
6,6,"192.0,171.0,125.0","194.0,174.0,127.0"
6,6,"179.0,154.0,115.0","193.0,171.0,127.0"
11,11,"191.0,117.0,107.0","190.0,141.0,130.0"
3,3,"122.0,32.0,39.0","127.0,20.0,28.0"
4,2,"93.0,55.0,58.0","184.0,137.0,130.0"
