file_name,shape,color,name,ndc11
1.jpg, CAPSULE," WHITE, BLUE",atomoxetine 25 MG Oral Capsule [Strattera],00002-3228-30
2.jpg, CAPSULE, BLUE,atomoxetine 40 MG Oral Capsule [Strattera],00002-3229-30
3.jpg, CAPSULE, YELLOW,duloxetine 20 MG Delayed Release Oral Capsule [Cymbalta],00002-3235-60
4.jpg, CAPSULE," WHITE, ORANGE",atomoxetine 18 MG Oral Capsule [Strattera],00002-3238-30
5.jpg, CAPSULE," BLUE, ORANGE",atomoxetine 60 MG Oral Capsule [Strattera],00002-3239-30
6.jpg, CAPSULE," BLUE, WHITE",duloxetine 30 MG Delayed Release Oral Capsule [Cymbalta],00002-3240-30
7.jpg, CAPSULE," WHITE, ORANGE",atomoxetine 80 MG Oral Capsule [Strattera],00002-3250-30
8.jpg, CAPSULE,ORANGE,atomoxetine 100 MG Oral Capsule [Strattera],00002-3251-30
9.jpg, CAPSULE," BLUE, YELLOW",duloxetine 60 MG Delayed Release Oral Capsule [Cymbalta],00002-3270-30
10.jpg, OVAL, WHITE,Raloxifene Hydrochloride 60 MG Oral Tablet [Evista],00002-4165-02
11.jpg, TEAR, YELLOW,tadalafil 5 MG Oral Tablet [Cialis],00002-4462-30
12.jpg, TEAR, ORANGE,tadalafil 10 MG Oral Tablet [Cialis],00002-4463-30
13.jpg, TEAR, BROWN,tadalafil 20 MG Oral Tablet [Cialis],00002-4464-30
14.jpg, ROUND, WHITE,pitavastatin 1 MG Oral Tablet [Livalo],00002-4770-90
15.jpg, ROUND, WHITE,pitavastatin 2 MG Oral Tablet [Livalo],00002-4771-90
16.jpg, ROUND, WHITE,pitavastatin 4 MG Oral Tablet [Livalo],00002-4772-90
17.jpg, HEXAGON, BROWN,prasugrel 10 MG Oral Tablet [Effient],00002-5123-30
18.jpg, ROUND, YELLOW,apixaban 2.5 MG Oral Tablet [Eliquis],00003-0893-21
19.jpg, OVAL, PINK,apixaban 5 MG Oral Tablet [Eliquis],00003-0894-21
